Results Table 1
,Specimen number (included),Specimen label,Diameter,Support span,Maximum Force
,,,(mm),(mm),(N)
"","0.3200","0.0508","-0.0007"
"","0.3400","0.0545","-0.0003"
"","0.3600","0.0581","0.0001"
"","0.3800","0.0619","0.0002"
"","0.4000","0.0660","0.0000"
"","0.4200","0.0703","-0.0002"
"","0.4400","0.0746","-0.0004"
"","0.4600","0.0790","-0.0003"
"","0.4800","0.0834","0.0003"
"","0.5000","0.0878","0.0003"
"","0.5200","0.0923","0.0000"
"","0.5400","0.0967","-0.0002"
"","0.5600","0.1009","-0.0003"
"","0.5800","0.1048","-0.0003"
"","0.6000","0.1087","-0.0001"
"","0.6200","0.1127","0.0004"
"","0.6400","0.1169","0.0003"
"","0.6600","0.1215","0.0003"
"","0.6800","0.1261","0.0002"
"","0.7000","0.1307","-0.0002"
"","0.7200","0.1351","-0.0005"
"","0.7400","0.1395","-0.0001"
"","0.7600","0.1437","0.0003"
"","0.7800","0.1477","0.0005"
"","0.8000","0.1515","0.0004"
"","0.8200","0.1554","-0.0002"
"","0.8400","0.1594","-0.0007"
"","0.8600","0.1635","-0.0005"
"","0.8800","0.1677","0.0000"
"","0.9000","0.1720","0.0003"
"","0.9200","0.1763","0.0001"
"","0.9400","0.1807","-0.0002"
"","0.9600","0.1852","-0.0005"
"","0.9800","0.1897","-0.0005"
"","1.0000","0.1941","0.0002"
"","1.0200","0.1984","0.0006"
"","1.0400","0.2023","0.0005"
"","1.0600","0.2062","0.0001"
"","1.0800","0.2103","-0.0001"
"","1.1000","0.2145","-0.0003"
"","1.1200","0.2190","-0.0002"
"","1.1400","0.2235","0.0002"
"","1.1600","0.2280","0.0004"
"","1.1800","0.2325","0.0001"
"","1.2000","0.2368","-0.0004"
"","1.2200","0.2409","-0.0005"
"","1.2400","0.2449","-0.0005"
"","1.2600","0.2488","-0.0001"
"","1.2800","0.2527","0.0003"
"","1.3000","0.2568","0.0004"
"","1.3200","0.2609","0.0006"
"","1.3400","0.2651","-0.0001"
"","1.3600","0.2694","-0.0006"
"","1.3800","0.2737","-0.0006"
"","1.4000","0.2781","-0.0001"
"","1.4200","0.2826","0.0004"
"","1.4400","0.2871","0.0005"
"","1.4600","0.2914","0.0001"
"","1.4800","0.2955","-0.0002"
"","1.5000","0.2995","-0.0006"
"","1.5200","0.3035","-0.0003"
"","1.5400","0.3076","0.0001"
"","1.5600","0.3119","0.0002"
"","1.5800","0.3163","0.0001"
"","1.6000","0.3208","-0.0004"
"","1.6200","0.3253","-0.0009"
"","1.6400","0.3297","-0.0008"
"","1.6600","0.3340","0.0000"
"","1.6800","0.3382","0.0004"
"","1.7000","0.3422","0.0003"
"","1.7200","0.3461","-0.0004"
"","1.7400","0.3500","-0.0005"
"","1.7600","0.3540","-0.0001"
"","1.7800","0.3582","0.0001"
"","1.8000","0.3625","0.0005"
"","1.8200","0.3667","0.0006"
"","1.8400","0.3710","0.0004"
"","1.8600","0.3755","-0.0002"
"","1.8800","0.3800","-0.0004"
"","1.9000","0.3844","-0.0004"
"","1.9200","0.3888","0.0000"
"","1.9400","0.3929","0.0003"
"","1.9600","0.3968","0.0005"
"","1.9800","0.4008","0.0000"
"","2.0000","0.4049","-0.0004"
"","2.0200","0.4092","-0.0005"
"","2.0400","0.4136","0.0001"
"","2.0600","0.4181","0.0003"
"","2.0800","0.4226","0.0001"
"","2.1000","0.4270","-0.0001"
"","2.1200","0.4313","-0.0002"
"","2.1400","0.4355","-0.0004"
"","2.1600","0.4395","0.0000"
"","2.1800","0.4434","0.0004"
"","2.2000","0.4474","0.0006"
"","2.2200","0.4515","0.0004"
"","2.2400","0.4557","0.0001"
"","2.2600","0.4599","-0.0002"
"","2.2800","0.4643","-0.0005"
"","2.3000","0.4686","0.0000"
"","2.3200","0.4730","0.0003"
"","2.3400","0.4774","0.0001"
"","2.3600","0.4818","-0.0001"
"","2.3800","0.4861","0.0000"
"","2.4000","0.4901","0.0001"
"","2.4200","0.4941","0.0000"
"","2.4400","0.4980","0.0002"
"","2.4600","0.5022","0.0005"
"","2.4800","0.5065","0.0003"
"","2.5000","0.5109","0.0001"
"","2.5200","0.5153","-0.0002"
"","2.5400","0.5199","-0.0005"
"","2.5600","0.5243","0.0001"
"","2.5800","0.5287","0.0003"
"","2.6000","0.5328","0.0004"
"","2.6200","0.5368","0.0001"
"","2.6400","0.5408","-0.0003"
"","2.6600","0.5447","-0.0006"
"","2.6800","0.5488","-0.0004"
"","2.7000","0.5531","0.0000"
"","2.7200","0.5574","0.0000"
