Results Table 1
,Specimen label,Thickness,Width,Length,Rate 1
,,(mm),(mm),(mm),(mm/min)
"1","LDPE 1IN/MIN","3.33","13.26","95.25","25.40"
"2","LDPE 5IN/MIN","3.30","13.00","87.12","127.00"
"3","LDPE 20IN/MIN","3.30","13.00","90.42","508.00"

Results Table 2


1,Time,Displacement,Force
,(s),(mm),(kN)
"","12.7000","5.3508","0.4115"
"","12.7200","5.3590","0.4117"
"","12.7400","5.3672","0.4121"
"","12.7600","5.3756","0.4124"
"","12.7800","5.3842","0.4126"
"","12.8000","5.3926","0.4125"
"","12.8200","5.4009","0.4127"
"","12.8400","5.4092","0.4129"
"","12.8600","5.4177","0.4134"
"","12.8800","5.4265","0.4136"
"","12.9000","5.4353","0.4140"
"","12.9200","5.4440","0.4140"
"","12.9400","5.4522","0.4144"
"","12.9600","5.4604","0.4145"
"","12.9800","5.4687","0.4149"
"","13.0000","5.4771","0.4150"
"","13.0200","5.4855","0.4154"
"","13.0400","5.4939","0.4151"
"","13.0600","5.5023","0.4156"
"","13.0800","5.5108","0.4157"
"","13.1000","5.5195","0.4161"
"","13.1200","5.5282","0.4162"
"","13.1400","5.5369","0.4167"
"","13.1600","5.5453","0.4169"
"","13.1800","5.5535","0.4171"
"","13.2000","5.5618","0.4171"
"","13.2200","5.5702","0.4174"
"","13.2400","5.5786","0.4175"
"","13.2600","5.5870","0.4176"
"","13.2800","5.5953","0.4177"
"","13.3000","5.6037","0.4181"
"","13.3200","5.6124","0.4184"
"","13.3400","5.6212","0.4187"
"","13.3600","5.6300","0.4189"
"","13.3800","5.6384","0.4191"
"","13.4000","5.6467","0.4192"
"","13.4200","5.6549","0.4195"
"","13.4400","5.6633","0.4197"
"","13.4600","5.6719","0.4202"
"","13.4800","5.6804","0.4203"
"","13.5000","5.6888","0.4204"
"","13.5200","5.6971","0.4205"
"","13.5400","5.7054","0.4207"
"","13.5600","5.7140","0.4210"
"","13.5800","5.7229","0.4215"
"","13.6000","5.7316","0.4215"
"","13.6200","5.7401","0.4219"
"","13.6400","5.7484","0.4220"
"","13.6600","5.7567","0.4220"
"","13.6800","5.7651","0.4221"
"","13.7000","5.7735","0.4223"
"","13.7200","5.7818","0.4224"
"","13.7400","5.7900","0.4226"
"","13.7600","5.7983","0.4230"
"","13.7800","5.8069","0.4234"
"","13.8000","5.8157","0.4235"
"","13.8200","5.8245","0.4236"
"","13.8400","5.8331","0.4239"
"","13.8600","5.8414","0.4239"
"","13.8800","5.8496","0.4241"
"","13.9000","5.8581","0.4244"
"","13.9200","5.8666","0.4247"
"","13.9400","5.8750","0.4249"
"","13.9600","5.8834","0.4251"
"","13.9800","5.8917","0.4250"
"","14.0000","5.9002","0.4253"
"","14.0200","5.9089","0.4254"
"","14.0400","5.9177","0.4258"
"","14.0600","5.9264","0.4261"
"","14.0800","5.9349","0.4265"
"","14.1000","5.9432","0.4265"
"","14.1200","5.9516","0.4267"
"","14.1400","5.9601","0.4266"
"","14.1600","5.9685","0.4270"
"","14.1800","5.9768","0.4271"
"","14.2000","5.9850","0.4274"
"","14.2200","5.9933","0.4273"
"","14.2400","6.0019","0.4277"
"","14.2600","6.0108","0.4276"
"","14.2800","6.0195","0.4281"
"","14.3000","6.0280","0.4282"
"","14.3200","6.0363","0.4285"
"","14.3400","6.0446","0.4284"
"","14.3600","6.0530","0.4289"
"","14.3800","6.0614","0.4290"
"","14.4000","6.0697","0.4293"
"","14.4200","6.0780","0.4294"
"","14.4400","6.0864","0.4297"
"","14.4600","6.0949","0.4299"
"","14.4800","6.1037","0.4301"
"","14.5000","6.1125","0.4300"
"","14.5200","6.1212","0.4304"
"","14.5400","6.1295","0.4306"
"","14.5600","6.1377","0.4308"
"","14.5800","6.1460","0.4307"
"","14.6000","6.1544","0.4309"
"","14.6200","6.1629","0.4310"
"","14.6400","6.1713","0.4314"
"","14.6600","6.1796","0.4314"
"","14.6800","6.1879","0.4319"
"","14.7000","6.1965","0.4319"
